latitude,longitude,city,iyear,attacktype1_txt,nkill
6.452331,3.419044,Lagos,1976,Assassination,3.0
10.530204,7.437338,Kaduna,1980,Unknown,0.0
0.0,0.0,Not Specified,1983,Assassination,0.0
6.618911,3.305532,Lagos,1983,Assassination,1.0
6.455641,3.429865,Lagos,1983,Assassination,0.0
6.618911,3.305532,Lagos,1988,Assassination,1.0
6.618911,3.305532,Lagos,1988,Assassination,3.0
12.323997,7.520477,Not Specified,1991,Facility/Infrastructure Attack,0.0
12.169841,6.674302,Gusau City,1991,Facility/Infrastructure Attack,2.0
11.974328,8.50026,Kano,1991,Facility/Infrastructure Attack,8.0
12.990552,7.602981,Katsina,1992,Unarmed Assault,0.0
4.595669,8.270638,Utan Brama,1992,Armed Assault,80.0
6.336345,5.62175,Benin City,1992,Assassination,1.0
8.899997,11.366661,Jalingo,1992,Bombing/Explosion,20.0
6.618911,3.305532,Lagos,1992,Armed Assault,11.0
7.25,5.195,Akure,1992,Facility/Infrastructure Attack,0.0
10.530204,7.437338,Kaduna,1992,Armed Assault,10.0
9.791087,8.281157,Zango-Kataf,1992,Armed Assault,13.0
6.618911,3.305532,Lagos,1992,Armed Assault,0.0
6.618911,3.305532,Lagos,1992,Hostage Taking (Kidnapping),0.0
6.618911,3.305532,Lagos,1992,Assassination,0.0
4.31195,6.24629,Brass area,1994,Armed Assault,13.0
4.950354,8.324763,Calabar district,1994,Armed Assault,2.0
6.618911,3.305532,Lagos,1994,Bombing/Explosion,0.0
6.618911,3.305532,Lagos,1994,Bombing/Explosion,0.0
9.066547,7.483243,Abuja,1994,Bombing/Explosion,0.0
6.618911,3.305532,Lagos,1994,Facility/Infrastructure Attack,0.0
10.530204,7.437338,Kaduna,1994,Bombing/Explosion,0.0
10.530204,7.437338,Kaduna,1994,Bombing/Explosion,0.0
6.618911,3.305532,Lagos,1995,Assassination,1.0
11.974328,8.50026,Kano,1996,Bombing/Explosion,14.0
10.530204,7.437338,Kabuna,1996,Bombing/Explosion,1.0
6.618911,3.305532,Lagos,1996,Assassination,0.0
6.618911,3.305532,Lagos,1996,Bombing/Explosion,2.0
6.618911,3.305532,Lagos,1996,Armed Assault,0.0
6.618911,3.305532,Lagos,1996,Assassination,1.0
10.530204,7.437338,Kabuna,1996,Bombing/Explosion,1.0
6.618911,3.305532,Lagos,1996,Assassination,2.0
6.618911,3.305532,Lagos,1996,Bombing/Explosion,3.0
6.618911,3.305532,Lagos,1996,Assassination,0.0
6.618911,3.305532,Lagos,1996,Bombing/Explosion,0.0
6.618911,3.305532,Lagoa,1997,Armed Assault,0.0
6.618911,3.305532,Lagos,1997,Bombing/Explosion,1.0
6.618911,3.305532,Lagos,1997,Bombing/Explosion,0.0
0.0,0.0,Not Specified,1997,Hostage Taking (Kidnapping),0.0
6.618911,3.305532,Lagos,1997,Bombing/Explosion,0.0
7.396389,3.916667,Ibadan,1997,Bombing/Explosion,0.0
6.166667,6.783333,Onitcha,1997,Bombing/Explosion,1.0
6.166667,6.783333,Onitsha,1997,Bombing/Explosion,4.0
4.78482,7.00545,Port Harcourt,1997,Bombing/Explosion,1.0
6.618911,3.305532,Lagos,1997,Bombing/Explosion,0.0
7.466666,4.566667,Ife,1997,Armed Assault,16.0
7.466666,4.566667,Ife,1997,Armed Assault,16.0
7.466666,4.566667,Ife,1997,Armed Assault,16.0
7.466666,4.566667,Ife,1997,Armed Assault,16.0
7.620713,5.218291,Ado-Ekiti,1997,Bombing/Explosion,0.0
5.52372,5.753167,Warri,1997,Hostage Taking (Kidnapping),1.0
6.618911,3.305532,Lagos,1997,Bombing/Explosion,0.0
6.845507,4.907767,Ondo,1997,Bombing/Explosion,0.0
7.466666,4.566667,Ife,1997,Armed Assault,20.0
7.466666,4.566667,Ife,1997,Armed Assault,15.0
7.479776,4.563863,Ife,1998,Bombing/Explosion,5.0
6.522612,3.378704,Lagos,1998,Bombing/Explosion,4.0
0.0,0.0,Not Specified,1999,Hostage Taking (Kidnapping),0.0
0.0,0.0,Not Specified,1999,Hostage Taking (Kidnapping),0.0
9.457709,7.864447,Not Specified,1999,Armed Assault,0.0
5.432803,5.350531,Kantu,1999,Armed Assault,5.0
7.73173,10.816375,Not Specified,1999,Armed Assault,100.0
4.814953,7.040777,Port Harcourt,1999,Hostage Taking (Kidnapping),0.0
0.0,0.0,Egwa,1999,Hostage Taking (Kidnapping),0.0
0.0,0.0,Osoko,1999,Facility/Infrastructure Attack,0.0
0.0,0.0,Not Specified,1999,Facility/Infrastructure Attack,0.0
5.52372,5.753167,Warri,1999,Hostage Taking (Kidnapping),0.0
4.434049,7.17049,Bonny,1999,Facility/Infrastructure Attack,0.0
4.455751,6.271438,Ijaw,1999,Hostage Taking (Kidnapping),7.0
5.609324,5.193384,Escravos,1999,Facility/Infrastructure Attack,0.0
5.52372,5.753167,Warri,1999,Hostage Taking (Kidnapping),0.0
5.52372,5.753167,Warri,1999,Armed Assault,0.0
9.457709,7.864447,Not Specified,1999,Armed Assault,12.0
9.457709,7.864447,Not Specified,1999,Armed Assault,10.0
5.495427,5.911085,Ekakpamre,1999,Unknown,0.0
6.520917,3.379534,Lagos,2000,Unarmed Assault,0.0
